alignment_name	assembly	source_assembly	chain_origin	chain	chain_sha256	source_sizes	source_sizes_sha256	target_sizes	target_sizes_sha256
Microgale_talazaci	GCA_004026705.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Microgale_talazaci/human_to_species.chain.gz	15a994abfdd87f40a3dfe6271e8625e2c7bd9a3d297b953817aca66e7f1cd359	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Microgale_talazaci.tsv	04f17441ba1fc6f6ab92bb35c865cadb3d4bbbd12675a8fa30f51b5caf06de62
Bos_taurus	GCF_000003205.7	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Bos_taurus/human_to_species.chain.gz	c7e5b420cdbf68313c500377fa6205d51e1b2611bbd6b41bdf68015a6d6d8732	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Bos_taurus.tsv	38102565798020a79a761b79f440d4d1b8da454cbff05c163f9a718721217e4c
Lycaon_pictus	GCA_001887905.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Lycaon_pictus/human_to_species.chain.gz	dfd93247ff05d28411770c48929ae72c57860ce49dc06860da205aa1aa7e345b	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Lycaon_pictus.tsv	2b812fd58f62b6cbce3b4eada420f66f55d6d81dc4e621590711f8d88010fe22
Macroglossus_sobrinus	GCA_004027375.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Macroglossus_sobrinus/human_to_species.chain.gz	2a700a27c66e969c730a30f8cc51be3d903889d95ad664495a497dc7803ec9f7	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Macroglossus_sobrinus.tsv	cfec9de73f9a17a16375013f932bfe6c6fa5a8b019d5a64120ec3e135a8d550a
Tolypeutes_matacus	GCA_004025125.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Tolypeutes_matacus/human_to_species.chain.gz	908f8121832ea08917474d725e28363501dcc94bfe5baaa7d0f6bffc841cbb4d	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Tolypeutes_matacus.tsv	765578aa5a8f5a2595f657a814097ef5538aa5170aeb75b026c19d25f6315721
Galeopterus_variegatus	GCA_004027255.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Galeopterus_variegatus/human_to_species.chain.gz	9a37f0603ae69f22c984cf58e9ef0d2c0c77cb93259c68f3ab18f14d74e96682	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Galeopterus_variegatus.tsv	1aa5d516874c361db4939d63694f03dd9acae2a5f96ac92ecc80ec475fe11c2c
Solenodon_paradoxus	GCA_004363575.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Solenodon_paradoxus/human_to_species.chain.gz	4cdd56aaa5c20f221ce2ce1397edae4cc269539da22f0e4841d7c9cff19bd957	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Solenodon_paradoxus.tsv	46176de97c621964d3e1ef728024fa9db3a7f5f526c4ec43fabbd08b7b320442
Heterohyrax_brucei	GCA_004026845.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Heterohyrax_brucei/human_to_species.chain.gz	09598e1c0f0346494c2dd5c43c63baa31a19085757db2062b92c165f7a746ff3	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Heterohyrax_brucei.tsv	94fa315a4dd82d376e137aa2a4bf4cddac782cf78acc553f29c6190ecf030778
Oryctolagus_cuniculus	GCF_000003625.3	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Oryctolagus_cuniculus/human_to_species.chain.gz	56ff49755feb014139cca79612a6a04b14a9d5fd94a9b27bb0a4d76160e8888a	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Oryctolagus_cuniculus.tsv	643bda6e3630fcffee8d1b4d3a9a6c36de5a0f801d21d9f2bccb67aa9f8e48f4
Elephantulus_edwardii	GCA_004027355.1	hg38	direction_matched_no_dupes_psl_swap	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/hal-chains-directional-ramp-v2/b86897b7050bc9fdf397dd6abfb3af11fc876f86/d035c2561f6be3b11449647adfe9ce865884aef7da8b7e06b817d8a75c7f37f9/full/chains/Elephantulus_edwardii/human_to_species.chain.gz	f8cbaab6f0d725369bd6d266c6e9d0b8fb62371ba321cc505ad32d0698de2d71	s3://oa-bolinas/issues/523/chain-reader-sampled-validation/f3c1de027c3660a17d9cb8bec9297154fd6d2328/Mus_musculus/source.aliases.sizes	56706a5eeaaa368bfcab17bba94437b5a09885fe41494735a42bbb9118bac214	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Elephantulus_edwardii.tsv	23c665b747c2ab18cb57fff42b99980d0291033df072356d21c60ab6565d357e
