choice,budget,feature,eligible_overlap_bases,selected_overlap_bases,eligible_fraction,selected_fraction,eligible_feature_base_recall,coverage_enrichment
primary,0.01,gene_body,56672782,663566,0.7088173449733597,0.8299762351469668,0.011708724657279044,1.1709310459638382
primary,0.01,TSS_plus_minus_1kb,7082760,157662,0.08858543662605999,0.19720075046904315,0.022259966453755317,2.226108014813699
primary,0.01,exon,5976052,300380,0.07474362758586187,0.37570981863664793,0.05026395352650881,5.026646829591602
primary,0.01,CDS,1361168,186263,0.01702438902368862,0.23297435897435897,0.13684056633714575,13.684741264440463
primary,0.01,five_prime_utr,495804,23076,0.006201115641493859,0.028863039399624764,0.046542585376479415,4.654491396111363
primary,0.01,three_prime_utr,1731263,103443,0.02165323811191435,0.12938461538461538,0.059750020649664434,5.975301001905279
primary,0.01,cCRE_dELS,11907776,271319,0.14893283638091903,0.3393608505315822,0.02278502719567449,2.278616715951167
primary,0.01,cCRE_CA-H3K4me3,720177,16290,0.009007391750256397,0.020375234521575986,0.022619439387817162,2.26205710670861
primary,0.01,cCRE_CA,2287833,39170,0.02861436576031218,0.04899312070043777,0.017121004898521877,1.7121861484132808
primary,0.01,cCRE_TF,477210,3600,0.0059685569202291315,0.00450281425891182,0.0075438486201043565,0.7544226048428064
primary,0.01,cCRE_CA-CTCF,1026053,17177,0.012833041498861846,0.021484677923702313,0.01674085061882768,1.674168818483738
primary,0.01,cCRE_pELS,1658540,38255,0.020743677614628413,0.04784865540963102,0.02306546721815573,2.3066621212763265
primary,0.01,cCRE_PLS,426429,23069,0.005333429221802536,0.02885428392745466,0.0540981030839835,5.410080968076069
primary,0.01,cCRE_CA-TF,184006,3650,0.002301398304024814,0.004565353345841151,0.01983630968555373,1.983730212131036
primary,0.05,gene_body,56672782,3221729,0.7088173449733597,0.805895639992996,0.05684790628418418,1.1369581256836836
primary,0.05,TSS_plus_minus_1kb,7082760,678102,0.08858543662605999,0.16962303324411537,0.0957397963505752,1.914795927011504
primary,0.05,exon,5976052,1186339,0.07474362758586187,0.29675538434599896,0.19851550823185607,3.970310164637122
primary,0.05,CDS,1361168,693305,0.01702438902368862,0.1734259699327113,0.5093456502062934,10.186913004125868
primary,0.05,five_prime_utr,495804,88023,0.006201115641493859,0.022018410586087,0.1775358811143113,3.5507176222862262
primary,0.05,three_prime_utr,1731263,374925,0.02165323811191435,0.09378517647647397,0.21656155072914976,4.331231014582995
primary,0.05,cCRE_dELS,11907776,1200251,0.14893283638091903,0.3002353853465743,0.10079556417587969,2.015911283517594
primary,0.05,cCRE_CA-H3K4me3,720177,70913,0.009007391750256397,0.0177384496085249,0.09846607153519205,1.969321430703841
primary,0.05,cCRE_CA,2287833,193915,0.02861436576031218,0.04850664131875829,0.08475924597643272,1.6951849195286544
primary,0.05,cCRE_TF,477210,18981,0.0059685569202291315,0.004747980088550917,0.03977494184950022,0.7954988369900045
primary,0.05,cCRE_CA-CTCF,1026053,92088,0.012833041498861846,0.023035245266027966,0.08974974976926144,1.7949949953852287
primary,0.05,cCRE_pELS,1658540,174089,0.020743677614628413,0.043547289691572656,0.10496521036574337,2.099304207314867
primary,0.05,cCRE_PLS,426429,78464,0.005333429221802536,0.019627285689271332,0.18400249513987088,3.680049902797418
primary,0.05,cCRE_CA-TF,184006,16603,0.002301398304024814,0.004153138054381269,0.09023075334499962,1.8046150668999925
primary,0.1,gene_body,56672782,6227703,0.7088173449733597,0.7789107486804913,0.10988878223765335,1.0988878223765335
primary,0.1,TSS_plus_minus_1kb,7082760,1137048,0.08858543662605999,0.14221277234409785,0.16053741761686122,1.6053741761686122
primary,0.1,exon,5976052,1712074,0.07474362758586187,0.21413237611626684,0.2864891403220722,2.8648914032207218
primary,0.1,CDS,1361168,882028,0.01702438902368862,0.11031693223603573,0.6479934879456467,6.479934879456467
primary,0.1,five_prime_utr,495804,132764,0.006201115641493859,0.016605047902543964,0.26777516922009503,2.6777516922009506
primary,0.1,three_prime_utr,1731263,531546,0.02165323811191435,0.06648147684918829,0.3070278750253428,3.070278750253428
primary,0.1,cCRE_dELS,11907776,2049671,0.14893283638091903,0.25635627986092,0.17212878374601606,1.7212878374601603
primary,0.1,cCRE_CA-H3K4me3,720177,118738,0.009007391750256397,0.01485078920379218,0.16487335752183144,1.6487335752183145
primary,0.1,cCRE_CA,2287833,341065,0.02861436576031218,0.042657653150561574,0.14907775174149512,1.4907775174149511
primary,0.1,cCRE_TF,477210,41291,0.0059685569202291315,0.0051643444980864,0.08652584815909138,0.8652584815909139
primary,0.1,cCRE_CA-CTCF,1026053,160234,0.012833041498861846,0.02004077344473072,0.1561654222540161,1.561654222540161
primary,0.1,cCRE_pELS,1658540,289686,0.020743677614628413,0.03623158316031718,0.17466325804623342,1.7466325804623342
primary,0.1,cCRE_PLS,426429,115506,0.005333429221802536,0.014446556770142832,0.2708680694793272,2.7086806947932716
primary,0.1,cCRE_CA-TF,184006,28891,0.002301398304024814,0.0036134527353228105,0.1570111844178994,1.5701118441789943
primary,0.2,gene_body,56672782,11820930,0.7088173449733597,0.7392331840808465,0.20858213736534056,1.0429106868267028
primary,0.2,TSS_plus_minus_1kb,7082760,1797847,0.08858543662605999,0.11243008479875928,0.2538342397596417,1.2691711987982086
primary,0.2,exon,5976052,2190250,0.07474362758586187,0.13696938239487705,0.3665045083275714,1.8325225416378572
primary,0.2,CDS,1361168,935562,0.01702438902368862,0.05850626610300923,0.6873229461756374,3.436614730878187
primary,0.2,five_prime_utr,495804,173483,0.006201115641493859,0.010848925632238536,0.3499023807795016,1.7495119038975078
