accession	tax_id	species	order	assembly_name	assembly_level	contig_n50	total_length	release_date	annotation_name	source_database	datasets_version	retrieved_at	download_uri	source_checksum_type	source_checksum	source_size_bytes	sequence_sha256	fallback_needed	selected	selection_reason
GCF_050624435.1	94439	Tenrec ecaudatus	Afrosoricida	mTenEca1.hap1	Chromosome	41601014	3922859826	2025-05-30	GCF_050624435.1-RS_2025_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_054371585.1	439328	Giraffa tippelskirchi	Artiodactyla	T2T-mGirTip1v1.2.pri	Complete Genome	166642423	2578316437	2026-01-06	GCF_054371585.1-RS_2026_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_020171115.1	452646	Neogale vison	Carnivora	ASM_NN_V1	Chromosome	220349319	2681198719	2021-09-29	NCBI Neovison vison Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_027574615.1	29078	Eptesicus fuscus	Chiroptera	DD_ASM_mEF_20220401	Chromosome	49033427	2008057866	2023-01-09	GCF_027574615.1-RS_2023_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_030445035.2	9361	Dasypus novemcinctus	Cingulata	mDasNov1.1.hap2	Chromosome	13963394	3610534858	2023-07-13	GCF_030445035.2-RS_2025_01	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_902635505.1	9305	Sarcophilus harrisii	Dasyuromorphia	mSarHar1.11	Chromosome	62339597	3086657325	2019-11-07	NCBI Sarcophilus harrisii Annotation Release 103	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_027409185.1	110931	Cynocephalus volans	Dermoptera	mCynVol1.pri	Chromosome	69195939	2814418120	2022-12-28	GCF_027409185.1-RS_2024_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_027887165.2	13616	Monodelphis domestica	Didelphimorphia	mMonDom1.pri	Chromosome	3910714	3586166573	2026-02-25	GCF_027887165.2-RS_2026_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_028372415.1	9315	Notamacropus eugenii	Diprotodontia	mMacEug1.pri_v2	Chromosome	15255043	3447464908	2023-02-06	GCF_028372415.1-RS_2025_03	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_024139225.1	109475	Suncus etruscus	Eulipotyphla	mSunEtr1.pri.cur	Chromosome	5042816	2471666657	2022-07-06	GCF_024139225.1-RS_2023_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
