accession	tax_id	species	order	assembly_name	assembly_level	contig_n50	total_length	release_date	annotation_name	source_database	datasets_version	retrieved_at	download_uri	source_checksum_type	source_checksum	source_size_bytes	sequence_sha256	fallback_needed	selected	selection_reason
GCF_050624435.1	94439	Tenrec ecaudatus	Afrosoricida	mTenEca1.hap1	Chromosome	41601014	3922859826	2025-05-30	GCF_050624435.1-RS_2025_07	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_000296735.1	185453	Chrysochloris asiatica	Afrosoricida	ChrAsi1.0	Scaffold	19632	4210093806	2012-09-19	NCBI Chrysochloris asiatica Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_000313985.2	9371	Echinops telfairi	Afrosoricida	ASM31398v2	Scaffold	20425	2947103070	2019-07-15	NCBI Echinops telfairi Annotation Release 103	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_054371585.1	439328	Giraffa tippelskirchi	Artiodactyla	T2T-mGirTip1v1.2.pri	Complete Genome	166642423	2578316437	2026-01-06	GCF_054371585.1-RS_2026_02	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	true	best eligible assembly for order
GCF_003676395.1	3371155	Aethalodelphis obliquidens	Artiodactyla	ASM367639v1	Scaffold	255779	2334450779	2018-10-23	GCF_003676395.1-RS_2026_08	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	ineligible assembly level
GCF_949987535.1	9767	Balaenoptera acutorostrata	Artiodactyla	mBalAcu1.1	Chromosome	3015723	2772885358	2023-05-01	GCF_949987535.1-RS_2023_06	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_965194805.1	9768	Balaenoptera borealis	Artiodactyla	mBalBor1.hap1.1	Chromosome	2585625	3234557085	2025-03-10	GCF_965194805.1-RS_2025_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_009873245.2	9771	Balaenoptera musculus	Artiodactyla	mBalMus1.pri.v3	Chromosome	6315640	2374852541	2020-10-02	NCBI Balaenoptera musculus Annotation Release 100	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_965194825.1	9770	Balaenoptera physalus	Artiodactyla	mBalPhy2.hap1.1	Chromosome	2079521	3442538501	2025-03-10	GCF_965194825.1-RS_2025_10	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
GCF_028023285.1	2746895	Balaenoptera ricei	Artiodactyla	mBalRic1.hap2	Chromosome	36541936	2678442663	2023-01-30	GCF_028023285.1-RS_2023_09	SOURCE_DATABASE_REFSEQ	18.36.0	2026-08-25T20:01:25Z	""	""	""		""	false	false	lower-ranked eligible assembly for order
