kind	chrom	source_url	s3_uri	byte_size	md5
primary_chromosome_maf	chr1	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr1.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr1.maf.gz	6274615678	f7072e3e12169f1b04498d3e60eb0b98
primary_chromosome_maf	chr10	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr10.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr10.maf.gz	3553771051	25d3429fbe968e3e74aa969cc9df5601
primary_chromosome_maf	chr11	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr11.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr11.maf.gz	3579377463	ae7984ed3907492ba009e8dedf8d11b2
primary_chromosome_maf	chr12	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr12.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr12.maf.gz	3505847115	f701a324e94e61ae3632c76c125e4ab2
primary_chromosome_maf	chr13	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr13.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr13.maf.gz	2456349339	68d62dec9c46d12793db92a450119e0f
primary_chromosome_maf	chr14	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr14.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr14.maf.gz	2395531945	4fe70256dd54b03e2d04c3d3cbe67940
primary_chromosome_maf	chr15	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr15.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr15.maf.gz	2232720467	3354a3e0e9a12ef20ab88b306ebd2fad
primary_chromosome_maf	chr16	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr16.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr16.maf.gz	2253811017	ddfeea39614906f77917157a4fbfddd9
primary_chromosome_maf	chr17	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr17.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr17.maf.gz	2389074691	be704f6b0e9a637223307fe8aa213f74
primary_chromosome_maf	chr18	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr18.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr18.maf.gz	1928706232	f477bf42beaa761fbdec8d8425852d6c
primary_chromosome_maf	chr19	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr19.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr19.maf.gz	1397540093	4674be44b2e8ff663b5f87d931bbe8f6
primary_chromosome_maf	chr2	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr2.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr2.maf.gz	6408962330	9ac7b279c57b4921712fa03a386dbad6
primary_chromosome_maf	chr20	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr20.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr20.maf.gz	1669890133	62cc96670a7edb8f541afa1dfd2184b7
primary_chromosome_maf	chr21	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr21.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr21.maf.gz	876330918	8d124a643ec175f6a6eb5a087a41c57b
primary_chromosome_maf	chr22	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr22.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr22.maf.gz	943127342	4eeec46d9d3d11a21498957f754438ef
primary_chromosome_maf	chr3	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr3.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr3.maf.gz	5300530858	698aa899c10b6ee64cc0bf14996f1207
primary_chromosome_maf	chr4	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr4.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr4.maf.gz	4627971825	295c10f0895fe08ea97e9c30fc99e26d
primary_chromosome_maf	chr5	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr5.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr5.maf.gz	4598721642	0475dc19b7744caf06bd6a59728adab5
primary_chromosome_maf	chr6	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr6.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr6.maf.gz	4524936367	8072d44c5bcf59e2cba71b9bda1293c4
primary_chromosome_maf	chr7	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr7.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr7.maf.gz	3944590996	87a097cc8293eaeffb4cf83a8688359e
primary_chromosome_maf	chr8	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr8.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr8.maf.gz	3575111511	9fbfb3dc4445d4507dd8181b4d34ee6d
primary_chromosome_maf	chr9	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chr9.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chr9.maf.gz	3102811336	8ce03b547e50b61b53cb6af072587ed6
primary_chromosome_maf	chrX	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chrX.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chrX.maf.gz	2930842678	1064857574686e25c2ecddfee3f2751f
primary_chromosome_maf	chrY	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/chrY.maf.gz	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/maf/chrY.maf.gz	223766218	2009ce05f42710f943c3d410e1f37284
source_metadata	""	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/README.txt	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/metadata/README.txt	17194	48a895fdc77fbd2d28c04bb8b8571417
source_metadata	""	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/hg38.100way.nh	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/metadata/hg38.100way.nh	3481	26de6255631d2e46903ec823571b0ff6
source_metadata	""	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/hg38.100way.scientificNames.nh	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/metadata/hg38.100way.scientificNames.nh	4329	1ff97600ef83c9d90138e78e065c04a4
source_metadata	""	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/maf/md5sum.txt	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/metadata/maf/md5sum.txt	21661	396126b34a6c1f0478c35756f91068e4
source_metadata	""	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/multiz100way/md5sum.txt	s3://oa-bolinas/staging/multiz100way/hg38/ucsc-2015-05-12/metadata/md5sum.txt	367	1b05d709fe08c637a46a15cc0bdbf466
