name	s3_uri	byte_size	checksum_crc64nvme
exp351_noexon_bed	s3://oa-bolinas/snakemake/zoonomia_projection_dataset/results/centered/filtered/noexon.bed.gz	1274049	bPzkTyMFHOc=
exp351_scored_anchors	s3://oa-bolinas/snakemake/zoonomia_projection_dataset/results/centered/scored/enhancer_anchors.parquet	17441401	KDlUdqsQlEo=
issue417_artifact_inventory	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/artifact_inventory.tsv	137568	bWzWAUK4W7I=
issue417_anchor_labels	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/anchors/labels.parquet	11639465	VAC3nXLZ6V0=
issue417_active_species	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/metadata/species_active.tsv	21683	YPwbCiNeodY=
issue417_all_sequences	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/sequences/all_sources.parquet	9805570215	NYPxddbZX6g=
issue417_per_anchor_qc	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/qc/per_anchor.parquet	11563374	ArEw9niiyTI=
issue417_per_scope_qc	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/qc/per_anchor_scope.parquet	19151245	2DI0XkAuSFw=
issue417_rejection_counts	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/qc/rejection_counts.parquet	8689367	b2Qgj9CW7Pg=
issue417_aggregates	s3://oa-bolinas/staging/vertebrate_projection_dataset/v1/06549d8f7f3ba76151b9c54a5e52d3e3f4402a2d/full/qc/aggregates.parquet	7871	Ok4/JEdq0yw=
