chrom	path	rows	size_bytes	sha256	min_pos	max_pos
chr1	data/gpn-star-hg38-p243-200m/entropy/entropy_chr1.parquet	230454195	1361115512	6ecd794a594e9efbd40cc4419119a37eb665b0014a9625b1ff3758f6c60c83f7	10129	248946294
chr2	data/gpn-star-hg38-p243-200m/entropy/entropy_chr2.parquet	240540513	1420960750	3c40333eeb5b299d5f9fb149eace68e9cef1fc04c3477433563b5e32dd9ae6ee	10129	242183401
chr3	data/gpn-star-hg38-p243-200m/entropy/entropy_chr3.parquet	198092967	1170069511	2c72d23844a4958315a9a28581d32b4a49465d571c0a84db0ae72d6370a0a6c0	10129	198235431
chr4	data/gpn-star-hg38-p243-200m/entropy/entropy_chr4.parquet	189748315	1120826506	e55ae9fb8312e0ad773a52698f1dad4f5a8d904bf0811b7db222de0d51ad7c6d	10129	190204427
chr5	data/gpn-star-hg38-p243-200m/entropy/entropy_chr5.parquet	181256162	1070224819	1dd8f677a9864086e617cdfcdebbff2e8642bad22a05a8ec237d41c395fe6cf1	10129	181478131
chr6	data/gpn-star-hg38-p243-200m/entropy/entropy_chr6.parquet	170074682	1004889645	674575464ae0b57eee2a5bafea12178a4073fcb2d794242658f4c26fbd4042ff	60129	170745851
chr7	data/gpn-star-hg38-p243-200m/entropy/entropy_chr7.parquet	158965460	938647221	f5a3ca495d66f19d17e2d5514bec9aa3730d2cee22c8f5743ffdb5c1f827eed9	10129	159335845
chr8	data/gpn-star-hg38-p243-200m/entropy/entropy_chr8.parquet	144765320	855027060	5498d0ab1cab701718b9c619af0110b07b7d28be1ef802093db11b6912ea9b4c	60129	145078508
chr9	data/gpn-star-hg38-p243-200m/entropy/entropy_chr9.parquet	121779249	719286036	64fddb86b238ff2b3ee1fad388a80c245b79a9814c0704206f5996bfc1e2355e	10129	138334589
chr10	data/gpn-star-hg38-p243-200m/entropy/entropy_chr10.parquet	133243862	786957939	99a53ebfb51d83b2af0079057d79d32aaf39472acc8ba2a963d8bdbb7bd30b35	10129	133787294
chr11	data/gpn-star-hg38-p243-200m/entropy/entropy_chr11.parquet	134529646	794286481	3df9b8e65702067c59a8fc0ee697e70e6f2e0a00f1a10728e7658c70470f9209	60129	135076494
chr12	data/gpn-star-hg38-p243-200m/entropy/entropy_chr12.parquet	133130413	786104217	8d7e226055a61b2c222e33a47bf62efa1294ebe642923181f4b3c3dcf593915f	10129	133265181
chr13	data/gpn-star-hg38-p243-200m/entropy/entropy_chr13.parquet	97977748	578641242	d50814ab9134bd72d97e92acdca05ba8e7d807479de618b5a7cc61d839ff8287	16000129	114354200
chr14	data/gpn-star-hg38-p243-200m/entropy/entropy_chr14.parquet	90562005	534945498	2ce5688627451f93ec0091a0fdaf75ecebc05e273f416bc161bf365929bb091e	16000129	106883590
chr15	data/gpn-star-hg38-p243-200m/entropy/entropy_chr15.parquet	84636969	499555727	09a73b22688bb8eb63143ca153d2683d11ab4bed3f42e7bae25ccb94b38e76a4	17000129	101981061
chr16	data/gpn-star-hg38-p243-200m/entropy/entropy_chr16.parquet	81800567	482876778	c14c0da3cb1d4c6c8e5c074a040caa2527b6d9fd3b0a4b2b60e377b5106974f2	10129	90228217
chr17	data/gpn-star-hg38-p243-200m/entropy/entropy_chr17.parquet	82908479	489242106	7e17942e2085c4e9656710120dfc25c202b3f2bb9a5e6fa7b9cbd81391dac5fd	60129	83247313
chr18	data/gpn-star-hg38-p243-200m/entropy/entropy_chr18.parquet	80078960	472140967	0c0335a3b5bba9a4de9299786add30b39bbdb5b58d6680a1d16d6d4acfbae5a7	10129	80263157
chr19	data/gpn-star-hg38-p243-200m/entropy/entropy_chr19.parquet	58438710	344833429	f2e7fea5d4a7bba7693f5d79ae7858b25f43796864923510b01672f9f6214a90	60129	58607488
chr20	data/gpn-star-hg38-p243-200m/entropy/entropy_chr20.parquet	63922304	377219755	a85ccee39564ff4a789f6551e420a295337641840b93ff2a02724b60c1634350	60129	64334039
chr21	data/gpn-star-hg38-p243-200m/entropy/entropy_chr21.parquet	40075563	236534351	3764b053999701747514ad6aa49164e78c5213bbc1fa792b16c7e34e552bf642	5010129	46699855
chr22	data/gpn-star-hg38-p243-200m/entropy/entropy_chr22.parquet	39147490	231089803	e32a60f5fe7641adccd3bebab5b6680080854203277061486b5004eaef4e126b	10510129	50808340
chrX	data/gpn-star-hg38-p243-200m/entropy/entropy_chrX.parquet	154885246	914379993	bfd4c7f0ae2f49e66558e4124da9171fc0800557b1c3915bd387b3e616d42597	10129	156030767
chrY	data/gpn-star-hg38-p243-200m/entropy/entropy_chrY.parquet	23623555	139575027	975bf37f4a35139e01f927c1732850629601640a7ec74a571a7ef39684dbbc33	2781608	56887774
